"ccaa" "prov" "sexo" "edad" "nacio" "educ" "situa" "rentah" "factorele" "provsex" "edad2" "edad3" "edad4" "edad5" "edu1" "edu2" "edu3" "nacio1" "situ1" "situ2" "situ3" "uchogar" "rentanorm" "pobre" "dom"
"1" 1 4 1 5 1 1 3 7940 2298.47012 41 0 0 0 1 1 0 0 1 0 0 1 1.5 5293.333 1 7
"2" 1 4 2 4 1 1 3 7940 2298.47012 42 0 0 1 0 1 0 0 1 0 0 1 1.5 5293.333 1 8
"3" 1 4 1 2 1 2 1 7330 5939.57542 41 1 0 0 0 0 1 0 1 1 0 0 1 7330 0 7
"4" 1 4 1 3 1 1 1 27760 2994.35136 41 0 1 0 0 1 0 0 1 1 0 0 3 9253.333 0 7
"5" 1 4 2 3 1 1 1 27760 2994.35136 42 0 1 0 0 1 0 0 1 1 0 0 3 9253.333 0 8
"6" 1 4 1 3 1 2 3 27760 2994.35136 41 0 1 0 0 0 1 0 1 0 0 1 3 9253.333 0 7
"7" 1 4 2 2 1 2 1 27760 2994.35136 42 1 0 0 0 0 1 0 1 1 0 0 3 9253.333 0 8
"8" 1 4 2 2 1 1 1 27760 2994.35136 42 1 0 0 0 1 0 0 1 1 0 0 3 9253.333 0 8
"9" 1 4 2 3 1 2 1 42558 831.39333 42 0 1 0 0 0 1 0 1 1 0 0 2.8 15199.286 0 8
"10" 1 4 1 3 0 2 1 42558 831.39333 41 0 1 0 0 0 1 0 0 1 0 0 2.8 15199.286 0 7
"11" 1 4 2 2 0 3 2 42558 831.39333 42 1 0 0 0 0 0 1 0 0 1 0 2.8 15199.286 0 8
"12" 1 4 1 2 0 2 2 42558 831.39333 41 1 0 0 0 0 1 0 0 0 1 0 2.8 15199.286 0 7
"13" 1 4 1 0 1 0 0 42558 831.39333 41 0 0 0 0 0 0 0 1 0 0 0 2.8 15199.286 0 7
"14" 1 4 1 4 1 2 1 41537 3083.2403 41 0 0 1 0 0 1 0 1 1 0 0 2 20768.5 0 7
