prov,ac,gen,nat,labor,age2,age3,age4,age5,educ1,educ2,educ3,income
1,16,2,2,3,0,0,0,1,0,1,0,12021.8321161876
1,16,1,1,1,0,1,0,0,0,1,0,8609.85381664467
1,16,1,1,1,0,0,0,1,0,1,0,3384.19729163011
1,16,1,1,0,0,0,0,1,0,0,0,2343.35519954545
1,16,1,1,1,0,1,0,0,1,0,0,9023.84579604484
1,16,2,1,3,0,0,0,1,1,0,0,395.240969456091
1,16,1,1,3,0,0,1,0,1,0,0,10637.0327792043
1,16,2,1,3,0,0,1,0,0,1,0,4854.59069794318
1,16,1,1,0,0,1,0,0,0,0,0,7114.51362702013
1,16,2,1,1,0,1,0,0,0,0,1,8447.11249596838
1,16,1,1,3,0,0,0,1,0,1,0,6597.00919718956
1,16,2,1,1,0,1,0,0,0,1,0,7461.28926774694
1,16,2,1,3,1,0,0,0,0,1,0,-252.060617177661
1,16,1,1,1,0,1,0,0,0,0,1,27920.7367313917
1,16,2,1,1,0,1,0,0,0,0,1,16249.9827555821
1,16,1,1,3,0,0,0,1,0,1,0,10457.7062589616
1,16,2,1,1,0,1,0,0,0,1,0,6933.9097086465
1,16,1,1,3,0,0,0,1,1,0,0,7839.30435374475
1,16,1,1,3,1,0,0,0,0,1,0,6358.22167140053
1,16,2,1,3,0,0,1,0,0,1,0,16224.6487213235
1,16,1,1,3,0,1,0,0,0,1,0,7977.24098737932
1,16,2,1,1,0,1,0,0,0,1,0,7518.19938966214
1,16,1,1,1,0,1,0,0,0,1,0,10638.6456092542
1,16,1,1,0,0,0,0,0,0,0,0,5632.87535787985
1,16,1,2,0,0,0,0,0,0,0,0,4331.41568700994
1,16,2,1,3,0,0,1,0,0,1,0,10178.7565499779
1,16,2,1,0,0,0,0,0,0,0,0,9401.6465336627
1,16,2,1,3,0,1,0,0,0,1,0,7848.58426785967
1,16,2,1,3,0,1,0,0,0,1,0,5849.26038216075
1,16,2,1,0,0,0,0,0,0,0,0,31651.1346038038
1,16,2,1,1,0,0,1,0,0,0,1,26125.2705342929
1,16,2,1,1,0,1,0,0,0,1,0,1551.02780544126
1,16,2,1,3,0,0,0,1,1,0,0,18072.5548693067
1,16,1,1,1,0,1,0,0,0,0,1,10742.4649788887
1,16,1,1,0,0,0,0,1,0,0,0,16133.901601862
1,16,2,1,1,0,1,0,0,0,0,1,3993.62689220062
1,16,2,1,3,0,0,1,0,0,1,0,15343.5139569197
1,16,1,1,3,0,0,1,0,0,1,0,1300.03107967025
1,16,1,1,3,0,0,0,1,1,0,0,2992.36906243313
1,16,1,1,3,1,0,0,0,0,0,1,15402.8771830195
1,16,2,1,1,0,1,0,0,0,1,0,16577.3272168669
1,16,2,1,0,1,0,0,0,0,0,0,6340.80913883048
1,16,2,1,1,0,0,1,0,0,0,1,23938.4851518308
1,16,2,1,3,0,0,1,0,0,1,0,5183.48036235314
1,16,1,1,3,0,0,0,1,0,1,0,7705.60727542198
1,16,2,1,3,0,0,0,1,0,0,1,10357.9307715581
1,16,2,1,3,0,0,0,1,1,0,0,5438.73173668444
1,16,1,1,0,1,0,0,0,0,0,0,16001.7085539052
1,16,1,1,1,0,1,0,0,0,1,0,21097.6133158878
1,16,1,1,3,0,0,0,1,1,0,0,9933.80395731408
1,16,2,1,3,0,0,0,1,1,0,0,13117.8379919235
1,16,1,1,0,0,1,0,0,0,0,0,5035.27315629822
1,16,1,1,0,0,0,1,0,0,0,0,5603.50349163068
1,16,2,1,0,0,0,0,0,0,0,0,5293.67601033853
1,16,2,1,3,0,1,0,0,0,1,0,22510.7513497302
1,16,1,1,1,0,0,1,0,0,0,1,14565.7779290692
1,16,2,1,3,0,0,0,1,1,0,0,6627.86711845822
1,16,1,1,1,0,1,0,0,0,1,0,23344.0805411623
1,16,2,1,0,0,0,1,0,0,0,0,4908.15480180609
1,16,2,1,3,0,0,0,1,1,0,0,4308.20281291455
1,16,1,1,1,0,1,0,0,0,1,0,7878.07465666417
1,16,1,1,1,0,1,0,0,0,1,0,3901.57134175054
1,16,1,1,1,0,1,0,0,0,1,0,18770.4074052897
1,16,1,1,1,0,1,0,0,0,1,0,19713.599719149
1,16,1,1,1,0,1,0,0,0,1,0,15220.2254335628
1,16,2,1,3,0,0,0,1,0,1,0,8223.43164744379
1,16,2,1,3,0,1,0,0,0,0,1,8705.59185682537
1,16,1,1,0,0,0,0,0,0,0,0,16909.6283589437
1,16,1,1,0,0,0,0,0,0,0,0,8073.10212100104
1,16,2,1,1,0,1,0,0,0,0,1,24842.064804079
1,16,2,1,3,0,1,0,0,0,0,1,5663.42338124219
1,16,1,1,0,0,1,0,0,0,0,0,11788.5412297635
1,16,1,1,1,0,1,0,0,0,1,0,16555.5334192851
1,16,2,1,3,0,0,0,1,1,0,0,1644.50958915197
1,16,2,1,0,0,0,0,0,0,0,0,7728.22974944645
1,16,2,1,1,0,1,0,0,0,1,0,11862.8345986247
1,16,1,1,0,0,0,0,0,0,0,0,2185.07510150322
1,16,1,1,3,0,0,1,0,1,0,0,2953.16016571052
1,16,1,1,1,0,0,1,0,0,0,1,27404.0985150404
1,16,2,1,1,0,1,0,0,0,0,1,3658.31981098351
1,16,2,1,3,0,1,0,0,0,1,0,5150.39873686673
1,16,1,1,3,0,0,1,0,0,1,0,7525.01207012015
1,16,2,1,0,0,0,0,0,0,0,0,4690.69061988474
1,16,1,1,3,0,0,0,1,0,0,1,7862.86220633017
1,16,1,1,1,0,1,0,0,0,1,0,3723.98065878221
1,16,2,2,0,0,0,0,1,0,0,0,7804.98597195142
1,16,2,1,3,1,0,0,0,0,1,0,3234.60381282655
1,16,1,1,1,0,0,1,0,0,1,0,3291.72705301338
1,16,2,1,1,0,0,1,0,0,1,0,11700.9561561888
1,16,1,1,0,0,0,0,0,0,0,0,19705.898511324
1,16,1,1,3,1,0,0,0,0,1,0,8500.30915396735
1,16,2,1,3,0,0,1,0,1,0,0,14653.8731289279
1,16,1,1,0,0,0,1,0,0,0,0,2436.20528950625
1,16,2,1,0,0,0,0,0,0,0,0,5065.28952221723
1,16,2,1,0,0,0,0,0,0,0,0,14726.2365856472
1,16,2,1,3,0,0,0,1,0,1,0,13154.7743179113
2,8,2,1,3,0,0,1,0,1,0,0,7982.2610366512
